scene,line_number,start,end,gap_before,duration,narration,action_word,estimated_action_word_time,visual_action_state_start,visible_action,rate,pitch,emotion,spoken_wpm,short_gap_flag,long_gap_flag,file
3,3,40.896,43.992000000000004,1.8759999999999977,3.096,Left and right now share the load—,load,43.79297142857143,37.333333333333336,Ollie rolls the jug right and the raft returns level,-7%,+2Hz,warm-story,135.65891472868216,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-03-line-03-natasha-au.wav
3,4,44.322,47.25,0.3299999999999983,2.928,Smooth and level as a road!,level,45.5664,37.333333333333336,Ollie rolls the jug right and the raft returns level,-6%,+3Hz,playful-emphasis,122.95081967213115,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-03-line-04-natasha-au.wav
4,1,48.38,51.548,1.1300000000000026,3.168,Willa boards and sits down low.,boards,49.1984,53.333333333333336,Willa boards low and the opposite loads are secured,-7%,+2Hz,warm-story,113.63636363636363,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-04-line-01-natasha-au.wav
4,2,51.948,54.852000000000004,0.3999999999999986,2.904,Clip the straps before we go.,straps,53.1822,53.333333333333336,Willa boards low and the opposite loads are secured,-7%,+2Hz,warm-story,123.96694214876034,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-04-line-02-natasha-au.wav
4,3,56.128,59.56,1.2759999999999962,3.432,"One friend moves, the others wait—",moves,57.5866,53.333333333333336,Willa boards low and the opposite loads are secured,-7%,+2Hz,warm-story,104.8951048951049,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-04-line-03-natasha-au.wav
4,4,59.89,63.25,0.3299999999999983,3.36,Patient turns will keep things straight.,straight,62.998,53.333333333333336,Willa boards low and the opposite loads are secured,-7%,+2Hz,warm-story,107.14285714285715,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-04-line-04-natasha-au.wav
5,1,64.38,67.692,1.1299999999999955,3.312,Left and right—then find the middle!,middle,67.47908571428572,69.33333333333333,"the seated friends gesture left, right and centre",-5%,+4Hz,chorus-bright,126.81159420289856,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-05-line-01-natasha-au.wav
5,2,68.092,71.212,0.4000000000000057,3.12,"Slow and steady, just a little.",steady,69.41799999999999,69.33333333333333,"the seated friends gesture left, right and centre",-5%,+4Hz,chorus-bright,115.38461538461539,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-05-line-02-natasha-au.wav
5,3,72.464,75.488,1.2519999999999953,3.024,Sit down low and help it glide—,glide,75.2936,69.33333333333333,"the seated friends gesture left, right and centre",-5%,+4Hz,chorus-bright,138.88888888888889,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-05-line-03-natasha-au.wav
5,4,75.818,79.25,0.3299999999999983,3.432,"Balance, balance—side to side!",balance,76.19552,69.33333333333333,"the seated friends gesture left, right and centre",-5%,+4Hz,chorus-bright,87.41258741258741,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-05-line-04-natasha-au.wav
6,1,80.38,83.74,1.1299999999999955,3.36,Fern sees ducks and waves hello.,waves,82.928,85.33333333333333,"Fern waves to ducks, the raft dips, and Ollie cues centre",-7%,+2Hz,warm-story,107.14285714285715,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-06-line-01-natasha-au.wav
6,2,84.14,87.932,0.4000000000000057,3.792,One side dips—so soft and slow.,dips,85.52137142857143,85.33333333333333,"Fern waves to ducks, the raft dips, and Ollie cues centre",-9%,+1Hz,gentle-breath,110.75949367088609,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-06-line-02-natasha-au.wav
6,3,89.064,91.96799999999999,1.1319999999999908,2.904,Point to centre—can you show?,centre,90.2982,85.33333333333333,"Fern waves to ducks, the raft dips, and Ollie cues centre",-6%,+3Hz,curious-question,123.96694214876034,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-06-line-03-natasha-au.wav
6,4,92.29799999999999,95.24999999999999,0.3299999999999983,2.952,Back we scoot before we row.,scoot,93.55259999999998,85.33333333333333,"Fern waves to ducks, the raft dips, and Ollie cues centre",-7%,+2Hz,warm-story,121.95121951219512,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-06-line-04-natasha-au.wav
7,1,96.38,99.86,1.1300000000000097,3.48,"Fern scoots back to centre, please.",scoots,97.279,101.33333333333333,Fern scoots to centre and the friends paddle together,-7%,+2Hz,warm-story,103.44827586206897,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-07-line-01-natasha-au.wav
7,2,100.26,103.62,0.4000000000000057,3.36,"A level raft, a laughing breeze.",level,101.128,101.33333333333333,Fern scoots to centre and the friends paddle together,-7%,+2Hz,warm-story,107.14285714285715,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-07-line-02-natasha-au.wav
7,3,103.94,106.74799999999999,0.3199999999999932,2.808,Paddles dip on either side—,dip,104.81048,101.33333333333333,Fern scoots to centre and the friends paddle together,-7%,+2Hz,warm-story,106.83760683760684,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-07-line-03-natasha-au.wav
7,4,107.07799999999999,111.56599999999999,0.3299999999999983,4.488,"Together, together—glide, glide, glide!",glide,109.36688,101.33333333333333,Fern scoots to centre and the friends paddle together,-6%,+3Hz,playful-emphasis,66.84491978609626,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-07-line-04-natasha-au.wav
8,1,112.38,115.5,0.8140000000000072,3.12,Ropes are tied at Picnic Bay.,tied,113.70599999999999,117.33333333333333,the raft is tied before the basket and blanket move ashore,-7%,+2Hz,warm-story,115.38461538461539,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-08-line-01-natasha-au.wav
8,2,115.9,119.09200000000001,0.4000000000000057,3.192,Unload first—that is the way.,Unload,116.1926,117.33333333333333,the raft is tied before the basket and blanket move ashore,-7%,+2Hz,warm-story,112.78195488721803,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-08-line-02-natasha-au.wav
8,3,120.68,123.77600000000001,1.5879999999999939,3.096,"Hand to hand the basket goes,",basket,123.02780000000001,117.33333333333333,the raft is tied before the basket and blanket move ashore,-7%,+2Hz,warm-story,116.27906976744185,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-08-line-03-natasha-au.wav
8,4,124.10600000000001,127.25000000000001,0.3299999999999983,3.144,Then the blanket softly rolls.,blanket,125.70944000000001,117.33333333333333,the raft is tied before the basket and blanket move ashore,-9%,+1Hz,gentle-breath,95.41984732824427,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-08-line-04-natasha-au.wav
9,1,128.38,131.692,1.1299999999999812,3.312,Left and right—then find the middle!,middle,131.4790857142857,133.33333333333334,three cups appear and the friends perform the final chorus,-5%,+4Hz,chorus-bright,126.81159420289856,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-09-line-01-natasha-au.wav
9,2,132.092,135.21200000000002,0.4000000000000057,3.12,"Slow and steady, just a little.",steady,133.418,133.33333333333334,three cups appear and the friends perform the final chorus,-5%,+4Hz,chorus-bright,115.38461538461539,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-09-line-02-natasha-au.wav
9,3,136.08,139.39200000000002,0.867999999999995,3.312,"Friends who listen, friends who guide—",guide,139.14360000000002,133.33333333333334,three cups appear and the friends perform the final chorus,-5%,+4Hz,chorus-bright,108.69565217391305,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-09-line-03-natasha-au.wav
9,4,139.72200000000004,143.25000000000003,0.3300000000000125,3.528,"Balance, balance—side by side!",balance,140.11008000000004,133.33333333333334,three cups appear and the friends perform the final chorus,-5%,+4Hz,chorus-bright,85.03401360544218,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-09-line-04-natasha-au.wav
